Platform,Type,Company,Released,Sales,Ref
PlayStation 2,Home,Sony,2000,>155 million,[note 1]
Nintendo DS,Handheld,Nintendo,2004,154.02 million,[19]
Nintendo Switch #,Hybrid,Nintendo,2017,132.46 million,[19][note 2]
Game Boy & Game Boy Color,Handheld,Nintendo,"1989, 1998",118.69 million,[19][note 3]
PlayStation 4 #,Home,Sony,2013,117.2 million,[34]
PlayStation,Home,Sony,1994,102.49 million,[35]
Wii,Home,Nintendo,2006,101.63 million,[19]
PlayStation 3,Home,Sony,2006,>87.4 million,[note 1]
Xbox 360,Home,Microsoft,2005,>84 million,[note 4]
Game Boy Advance,Handheld,Nintendo,2001,81.51 million,[19]
PlayStation Portable,Handheld,Sony,2004,80–82 million (estimate),[note 1]
Nintendo 3DS,Handheld,Nintendo,2011,75.94 million,[19]
NES/Famicom,Home,Nintendo,1983,61.91 million,[19]
Xbox One,Home,Microsoft,2013,~58 million,[43]
PlayStation 5 #,Home,Sony,2020,50 million,[44]
SNES/Super Famicom,Home,Nintendo,1990,49.1 million,[19]
Game & Watch,Dedicated handheld,Nintendo,1980,43.4 million,[45]
Nintendo 64,Home,Nintendo,1996,32.93 million,[19]
Sega Genesis/Mega Drive,Home,Sega,1988,30.75 million,[note 5]
Atari 2600,Home,Atari,1977,30 million,[49]
Xbox,Home,Microsoft,2001,24 million,[50]
GameCube,Home,Nintendo,2001,21.74 million,[19]
Xbox Series X/S #,Home,Microsoft,2020,~21 million,[51]
Quest 2 #,VR headset,Reality Labs / Meta,2020,~20 million,[52]
Wii U,Home,Nintendo,2012,13.56 million,[19]
V.Smile & V.Motion,Home,VTech,2004,11 million,[53]
PlayStation Vita,Handheld,Sony,2011,10–15 million (estimate),[note 1]
Master System,Home,Sega,1986,10–13 million,[note 6]
Game Gear,Handheld,Sega,1990,10.62 million,[46]
PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft[note 7],1987,10 million,[60]
Sega Saturn,Home,Sega,1994,9.26 million,[47]
Dreamcast,Home,Sega,1998,9.13 million,[47][61][62][63]
Master System (Brazilian variants),Home,Tectoy,1989,8 million,[64]
Dendy (famiclone),Home,Micro Genius,1992,6 million,[65]
Super NES Classic Edition,Dedicated,Nintendo,2017,5.28 million,[66]
Famicom Disk System,Home console add-on,Nintendo,1986,4.5 million,[67]
Advanced Pico Beena,Home,Sega,2005,>4.1 million,[68]
NES Classic Edition,Dedicated,Nintendo,2016,3.56 million,[69][70]
WonderSwan,Handheld,Bandai,1999,3.5 million,[note 8]
Sega Pico,Home,Sega,1993,>3.4 million,[note 9]
Color TV-Game,Dedicated,Nintendo,1977,3 million,[79][80]
Intellivision,Home,Mattel,1980,3 million,[81]
Mega Drive (Brazilian variants),Home,Tectoy,1990,3 million,[82][83]
N-Gage,Handheld,Nokia,2003,3 million,[84]
Mega-CD/Sega CD,Home console add-on,Sega,1991,2.24 million,[46]
ColecoVision,Home,Coleco,1982,>2 million,[note 10]
3DO Interactive Multiplayer,Home,The 3DO Company,1993,>2 million,[88]
Neo Geo Pocket (+ Color),Handheld,SNK,1999,2 million,[89]
Magnavox Odyssey²,Home,Magnavox/Philips,1978,2 million,[90]
Sega SG-1000,Home,Sega,1983,2 million,[91][92]
PC Engine CD-ROM²,Home console add-on,NEC,1988,1.92 million,[93][94]
Atari 7800,Home,Atari,1986,>1 million,[note 11]
Atari Lynx,Handheld,Atari,1989,>1 million,[note 12]
Philips CD-i,Home,Philips,1990,>1 million,[note 13]
Telstar,Dedicated,Coleco,1976,>1 million,[100][note 14]
Atari 5200,Home,Atari,1982,1 million,[102]
Pegasus (famiclone),Home,Micro Genius,1991,1 million,[103]
Oculus Quest,VR headset,Oculus,2019,"317,000–1 million (estimate)",[104][105]
